product_id,feature,value
1,Buttons,Brass
2,Lenses,Ultrasheen
2,UV Protection,null
2,Frames,LightCompose
3,Fabric,100% Cotton
3,Cut,Skinny
4,Fabric,99% Cotton 1% Elastic
4,Cut,Loose
5,Sole,Rubber
5,Material,FullControlSkin
5,Mid-Sole,ControlSupport Arch Bridge
5,Stitching,Double Stitch
6,Sole,Rubber
6,Material,FullControlSkin
6,Mid-Sole,ControlSupport Arch Bridge
6,Stitching,Double Stitch
7,Sole,Rubber
7,Material,FullControlSkin
7,Stitching,Double Stitch
8,Sole,Rubber
8,Material,FullControlSkin
8,Stitching,Double Stitch
9,Sole,Rubber
9,Material,FullControlSkin
9,Mid-Sole,ControlSupport Arch Bridge
9,Stitching,Double Stitch
11,Sole,Rubber
11,Material,FullControlSkin
11,Stitching,Double Stitch
12,Cut,Skinny
13,Fabric,"95% Cotton, 5% Elastic"
14,Stitching,Cross Stitch
15,Fair Trade Certified,null
15,Non-GMO,null
15,Frame,AllLight Composition Resin
15,Non-GMO,null
16,Sustainably Sourced,null
16,Material,Armor Weave
16,5 Year Warranty,null
17,Cut,Striaght
18,Sustainably Sourced,null
18,Stitching,Cross Stitch
18,Satisfaction Guaranteed,null
19,Fair Trade Certified,null
19,Sustainably Sourced,null
20,Fair Trade Certified,null
20,Non-GMO,null
20,Non-GMO,null
20,Lens,Ultrasheen Gold
21,Stitching,Cross Stitch
21,Fair Trade Certified,null
22,5 Year Warranty,null
22,Frame,AllLight Composition Resin
23,Cut,Skinny
23,Sustainably Sourced,null
23,Fair Trade Certified,null
24,Material,Armor Weave
24,Satisfaction Guaranteed,null
24,Fabric,Cashmere
